date,avg_amt
2021-09-09,234656.55348272691
2021-09-10,67379.52338114197
2021-09-11,80847.13215884453
2021-09-13,56435.746508778815
2021-09-14,74933.09489901614
2021-09-15,74043.93380096031
2021-09-16,55101.58804866983
2021-09-17,72678.04195989177
2021-09-18,47342.51611655651
2021-09-20,33700.19998636048
2021-09-21,44467.57424529061
2021-09-22,97931.35801824748
2021-09-23,50122.13423453879
2021-09-24,37946.73757370229
2021-09-25,41039.130740701534
2021-09-27,39851.21266934842
2021-09-28,51481.55928334958
2021-09-29,28132.950649150793
2021-09-30,32482.422407547347
2021-10-01,40723.91269853773
2021-10-02,34741.1632972827
2021-10-04,25090.747286272945
2021-10-05,33565.476633893515
2021-10-06,29079.36089634062
2021-10-07,45565.59959251687
2021-10-08,40631.68230828224
2021-10-09,32980.759990361745
2021-10-11,27477.218386921846
2021-10-12,23377.70075275816
2021-10-13,27454.115222214532
2021-10-14,30335.574582114605
2021-10-15,29672.734674943156
2021-10-16,27292.23269038629
2021-10-18,14695.698533580342
2021-10-19,44255.41062398152
2021-10-20,36392.72482387961
2021-10-21,51428.10519348224
2021-10-22,44143.06214998452
2021-10-23,43321.800178347825
2021-10-25,27862.43961227934
2021-10-26,32230.44287967193
2021-10-27,69155.93175608982
2021-10-28,48145.35054475594
2021-10-29,59457.204226589936
2021-10-30,57510.07937674087
2021-11-01,47702.528511605546
2021-11-02,49300.90274603424
2021-11-03,56694.113610953435
2021-11-04,58807.05565158203
2021-11-05,57045.86966491537
2021-11-06,48863.75799494205
2021-11-08,37928.02946968158
2021-11-09,39695.27665340038
2021-11-10,38577.29965825686
2021-11-11,44876.42983884565
2021-11-12,73236.9851146124
2021-11-13,105138.31806126055
2021-11-15,57876.359474451776
2021-11-16,76512.30819417564
2021-11-17,53474.93854695637
2021-11-18,39307.496062689024
2021-11-19,46715.4580157931
2021-11-20,57663.952716805594
2021-11-22,55944.190189465204
2021-11-23,55060.48305465928
2021-11-24,73914.91412671335
2021-11-25,108144.96001801113
2021-11-26,82712.62520038575
2021-11-27,87588.3422541717
2021-11-29,67877.26759870468
2021-11-30,77374.21634182676
2021-12-01,50372.12508270133
2021-12-02,67454.18205908581
2021-12-03,69932.69205350301
2021-12-04,72606.81330470229
2021-12-06,84292.52505261493
2021-12-07,57038.69342755376
2021-12-08,70639.66199110608
2021-12-09,89603.16953869672
2021-12-10,53726.78846502324
2021-12-11,67872.95025833156
2021-12-13,43512.38225261176
2021-12-14,41410.06362000103
2021-12-15,43070.19887900012
2021-12-16,45270.96413727436
2021-12-17,58934.694985827235
2021-12-18,60416.38101127724
2021-12-20,73952.40345973555
2021-12-21,94372.5843093432
2021-12-22,95767.31332680026
2021-12-23,201057.4034515495
2021-12-24,145356.72159551515
2021-12-25,223926.02877038083
2021-12-27,348455.92866518203
2021-12-28,240331.8619029875
2021-12-29,309059.93215210264
2021-12-30,315996.3432417806
2021-12-31,519707.29479227425
2022-01-01,637332.1600198131
2022-01-02,596653.7081707711
2022-01-03,380014.88223211974
2022-01-04,411169.91927293723
2022-01-05,680215.4618392867
2022-01-06,736061.8160007062
2022-01-07,793348.3616791297
2022-01-09,570699.677855496
2022-01-10,658133.3479892651
2022-01-11,554048.5714265901
2022-01-12,573588.2701577847
2022-01-13,504307.41963377804
2022-01-14,846538.6299406599
2022-01-15,499466.6930095919
2022-01-17,544169.4205470429
2022-01-18,479724.3235408163
2022-01-19,486996.6978967716
2022-01-20,413252.5357682564
2022-01-21,385016.25998002826
2022-01-22,349970.59097897453
2022-01-24,286060.6986743571
2022-01-25,338777.8964602742
2022-01-26,323534.6456265299
2022-01-27,346803.30244452157
2022-01-28,259146.21043589228
2022-01-29,206738.4796696011
2022-01-31,170396.0338384784
2022-02-01,174139.63233900495
2022-02-02,152198.22502369076
2022-02-03,163911.91187163835
2022-02-04,183207.6731427369
2022-02-05,141315.62568477422
2022-02-07,116466.81174131524
2022-02-08,220487.0215488214
2022-02-09,126207.7568128951
2022-02-10,136860.41112539213
2022-02-11,98347.45006888578
2022-02-12,95485.86235928415
2022-02-14,79636.87743205192
2022-02-15,80485.65955726823
2022-02-16,142920.54230092178
2022-02-17,169360.89701496594
2022-02-18,77659.60852043802
2022-02-19,44199.49354315825
2022-02-21,37110.02463318116
2022-02-22,29547.923670600423
2022-02-23,36352.12985267518
2022-02-24,55606.89084135116
2022-02-25,38067.90828426418
